month,year,nfirms,me,div_yld,log_excess_ret
11,1972,2677,861831363.4375,0.02560384707038092,0.04462315776930388
12,1972,5682,1053898855.6875,0.02107128431562146,0.007204846374377515
1,1973,5706,1025994378.4375,0.02195664727508177,-0.03205400358471089
2,1973,5705,982993213.25,0.02332361655658158,-0.04988267137437186
3,1973,5669,975852576.71875,0.02409506655805798,-0.012543840396729622
4,1973,5635,924312544.75,0.02604110298374773,-0.05821930111623245
5,1973,5570,900047186.375,0.0271625742478002,-0.03001642687338392
6,1973,5522,892133167.75,0.02804462507605121,-0.013971615377887294
7,1973,5492,938480371.40625,0.02707526128990641,0.04942402131774371
8,1973,5449,906173508.40625,0.02878941897143202,-0.03675848257204816
9,1973,5407,950785204.4375,0.02773458621330116,0.0453279583539222
10,1973,5411,950310057.25,0.02832512855203887,-0.007299666268880786
11,1973,5316,829034782.1875,0.03334432365863172,-0.13464256599753271
12,1973,5229,834377841.34375,0.0337076071816302,0.004868287610260244
1,1974,5207,838622045.90625,0.03363865103493365,-0.001785849757702078
2,1974,5182,837975593.46875,0.03405842834061855,-0.004111872461439622
3,1974,5181,820085200.375,0.03500353652660296,-0.029557065878813096
4,1974,5168,781774760.5625,0.03713555618641558,-0.05366215745394429
5,1974,5140,744232077.0,0.03924257417634723,-0.04980535244264047
6,1974,5112,724321669.8125,0.04056106607251957,-0.03004418524349811
7,1974,5090,673806513.34375,0.04383897284670136,-0.08007267749095215
8,1974,5046,610407775.40625,0.04914510020780272,-0.09812083379102925
9,1974,5008,542285340.625,0.05587526200919158,-0.12365594160797183
10,1974,4971,625741209.78125,0.0484556126311734,0.1465280386092967
11,1974,4933,599543633.84375,0.05036726880471506,-0.048109594788995284
12,1974,4901,583643301.125,0.05228714436642239,-0.033582040276985206
1,1975,4883,663374095.125,0.04564653684715329,0.12649013451841806
2,1975,4897,702121783.6875,0.04380468892183412,0.05156656462463512
3,1975,4903,725388666.375,0.04282819430180929,0.025170389404063576
4,1975,4916,756824684.625,0.04101806847058024,0.04088382970370984
5,1975,4901,795088329.4375,0.03915276150923168,0.04900935341889918
6,1975,4922,833207382.3125,0.03773591262637278,0.04584317492318253
7,1975,4928,782430974.4375,0.04039849364221135,-0.06672519011072567
8,1975,4946,759040588.5625,0.04122762629824907,-0.02893525629390514
9,1975,4943,727587300.59375,0.04359260162203374,-0.044103540807463266
10,1975,4948,766905872.21875,0.04161442724852542,0.049017019858219345
11,1975,4935,787771856.34375,0.04011488348072728,0.025790133317861837
12,1975,4946,779269341.0,0.04064950813211248,-0.015615196197989914
1,1976,4858,873548041.625,0.03658859646804525,0.11415909812673233
2,1976,4944,879890276.90625,0.03641721757566808,0.0032332909349001137
3,1976,4912,899687239.3125,0.03581070879690965,0.02233031421040154
4,1976,4950,891219976.375,0.0356982699009085,-0.01461448907315824
5,1976,4954,878580995.90625,0.03749485376030597,-0.013411580243715462
6,1976,4965,915234481.5625,0.03599746890574263,0.039234435645867045
7,1976,4995,907640843.3125,0.03595772375220775,-0.010653103851720837
8,1976,4711,897216711.0625,0.03765330752175931,-0.005747841418044268
9,1976,5014,924412352.125,0.03647522359118924,0.019943191760348
10,1976,4994,903664756.34375,0.03716182080943652,-0.02480676920390862
11,1976,5023,907300793.15625,0.03918385903160504,0.0012570524227756754
12,1976,5012,965735002.9375,0.03674127390035748,0.05581820648616909
1,1977,4955,930307717.5625,0.03838915976127767,-0.040620661361975764
2,1977,4997,913445443.53125,0.04010698795478533,-0.019711860882128965
3,1977,4988,896951563.96875,0.04096926272042208,-0.013176151297040363
4,1977,5001,901657935.0625,0.04086626001257293,0.0011237250173844996
5,1977,4992,887181899.28125,0.0428692013722039,-0.014611687020935538
6,1977,5000,932341467.0,0.04108729603188068,0.04596830989472307
7,1977,4979,918913698.8125,0.04166782895723496,-0.017063311166569683
8,1977,4961,903235374.5625,0.04344091800454429,-0.017743424140658014
9,1977,4950,906895459.53125,0.04369324284196139,-0.0029938007962041326
10,1977,4939,868191253.5625,0.04574446286219794,-0.04490017735399153
11,1977,4943,900456712.3125,0.04519007780704753,0.03931764673599673
12,1977,4926,907717693.1875,0.04536570850586839,0.003118918527018606
1,1978,4894,858713367.9375,0.04814527472230876,-0.06182653861882828
2,1978,4891,846150136.1875,0.0497529553435143,-0.014670598065603287
3,1978,4866,874002643.5625,0.04861287282700183,0.028082873868156857
4,1978,4889,937299300.46875,0.04554441627031987,0.07437124778506432
5,1978,4877,952445227.90625,0.04563301480513693,0.01773631368469423
6,1978,4856,944392224.0,0.04650906466234676,-0.01613362755292416
7,1978,4845,995796837.0625,0.0447075141936125,0.049596978563890656
8,1978,4841,1029644339.40625,0.04355811294889787,0.03567229638402805
9,1978,4857,1025681064.5625,0.04403239379616117,-0.01279550186497419
10,1978,4857,915093425.90625,0.05034897308058827,-0.1241727820103199
11,1978,4848,932085739.75,0.04942529704043883,0.02659249419588275
12,1978,4854,966694765.125,0.04802697505385239,0.010378836299581685
1,1979,4839,1009391213.84375,0.04661066046696549,0.040804261872213206
2,1979,4826,974251990.5,0.04881086316914186,-0.03489117328255515
3,1979,4839,1031237626.34375,0.04640691881537008,0.05581355905754951
4,1979,4831,1035700023.71875,0.04711204748086084,0.0006149512696150532
5,1979,4829,1012011594.0,0.0489648314650944,-0.021516349936334916
6,1979,4822,1044361152.9375,0.04770149565263613,0.03781112882992205
7,1979,4812,1055081253.09375,0.04779350469878071,0.007358104060518597
8,1979,4805,1116926919.65625,0.04618718386144747,0.05505261799721957
9,1979,4808,1119397938.1875,0.04639024748782799,-0.006477045668307783
10,1979,4814,1033450865.0,0.05073302257694456,-0.08395081859389876
11,1979,4819,1091906315.15625,0.04868227562007248,0.051960365730606195
12,1979,4819,1129808448.390625,0.04756371352611494,0.018047240620376145
1,1980,4820,1194665788.640625,0.04536006537822899,0.05356125624257925
2,1980,4829,1186143918.125,0.04658252419301994,-0.008935845617373771
3,1980,4830,1073504772.96875,0.05216698634928087,-0.13874759955043967
4,1980,4827,1129849424.28125,0.04987033768412282,0.0383787752913723
5,1980,4831,1195046772.59375,0.04726249072359607,0.047413870141737285
6,1980,4855,1238396682.625,0.04638916498940448,0.029895656970948502
7,1980,4873,1315727794.25,0.04428816757424042,0.061258898176655585
8,1980,4879,1346249775.40625,0.04347694852953726,0.016586674504842604
9,1980,4902,1409108226.640625,0.04236103337535419,0.021491768853372804
10,1980,4942,1438374329.265625,0.04195353434169977,0.011373841795651615
11,1980,4957,1557717305.484375,0.03863545960951308,0.09016514477338997
12,1980,5006,1522856214.515625,0.04007737731359323,-0.046393706980202204
1,1981,5025,1460668161.21875,0.04170579905474801,-0.05373627098615984
2,1981,5036,1472263170.640625,0.04210601980817037,0.00296083108992113
3,1981,5074,1545993191.15625,0.04080441338936538,0.03289863698531738
4,1981,5128,1549912310.78125,0.04063050467870391,-0.022401756046294543
5,1981,5186,1563409527.828125,0.04083765653013982,0.002111324117848864
6,1981,5235,1551646105.6875,0.04148853925293038,-0.0237877273761522
7,1981,5296,1546138253.5,0.04112352308055976,-0.015284022954229983
8,1981,5320,1456957604.09375,0.04474374531152068,-0.0703081935289237
9,1981,5316,1336631305.875,0.04885546468302865,-0.07874269991008703
10,1981,5357,1388183023.390625,0.04716782195734296,0.046246150705177985
11,1981,5381,1450679921.390625,0.04581746100719646,0.03360788824337759
12,1981,5387,1422377999.546875,0.04657112698343067,-0.03750753898901065
1,1982,5397,1402534825.71875,0.04700833778661442,-0.035559612950841826
2,1982,5409,1310051972.578125,0.05097249475622787,-0.06266058779910508
3,1982,5386,1259938039.40625,0.05304385876303894,-0.02132306926210841
4,1982,5363,1316896997.78125,0.05043823231052426,0.031847823015312936
5,1982,5360,1273246014.84375,0.05318605397210115,-0.03914635622457986
6,1982,5352,1236092271.6875,0.05427525116435237,-0.03422814271942205
7,1982,5342,1199483960.078125,0.05593868354489229,-0.031076609610810782
8,1982,5347,1334080799.859375,0.05075291404220737,0.1030358443477774
9,1982,5317,1351129721.8125,0.05002509685130774,0.009419703847076716
10,1982,5291,1503674683.296875,0.04448369833798858,0.10552819482360619
